{'epoch': 1539264584879, 'value': {x : 0.610, y : -0.100, z : -0.814}}
{'epoch': 1539264584880, 'value': {x : 0.600, y : -0.112, z : -0.807}}
{'epoch': 1539264584883, 'value': {x : 0.596, y : -0.110, z : -0.825}}
{'epoch': 1539264584886, 'value': {x : 0.604, y : -0.115, z : -0.855}}
{'epoch': 1539264584888, 'value': {x : 0.613, y : -0.117, z : -0.847}}
{'epoch': 1539264584891, 'value': {x : 0.629, y : -0.099, z : -0.843}}
{'epoch': 1539264584894, 'value': {x : 0.637, y : -0.035, z : -0.882}}
{'epoch': 1539264584895, 'value': {x : 0.684, y : 0.004, z : -0.942}}
{'epoch': 1539264584898, 'value': {x : 0.682, y : -0.062, z : -0.938}}
{'epoch': 1539264584901, 'value': {x : 0.661, y : -0.135, z : -0.853}}
{'epoch': 1539264584902, 'value': {x : 0.611, y : -0.215, z : -0.829}}
{'epoch': 1539264584905, 'value': {x : 0.568, y : -0.238, z : -0.874}}
{'epoch': 1539264584908, 'value': {x : 0.559, y : -0.251, z : -0.927}}
{'epoch': 1539264584910, 'value': {x : 0.534, y : -0.332, z : -0.962}}
{'epoch': 1539264584913, 'value': {x : 0.512, y : -0.319, z : -0.969}}
{'epoch': 1539264584916, 'value': {x : 0.520, y : -0.263, z : -0.964}}
{'epoch': 1539264584917, 'value': {x : 0.532, y : -0.189, z : -0.949}}
{'epoch': 1539264584920, 'value': {x : 0.536, y : -0.199, z : -0.927}}
{'epoch': 1539264584923, 'value': {x : 0.538, y : -0.234, z : -0.961}}
{'epoch': 1539264584924, 'value': {x : 0.533, y : -0.255, z : -0.967}}
{'epoch': 1539264584927, 'value': {x : 0.525, y : -0.210, z : -0.948}}
{'epoch': 1539264584930, 'value': {x : 0.523, y : -0.176, z : -0.886}}
{'epoch': 1539264584932, 'value': {x : 0.511, y : -0.219, z : -0.878}}
{'epoch': 1539264584935, 'value': {x : 0.500, y : -0.175, z : -0.876}}
{'epoch': 1539264584938, 'value': {x : 0.489, y : -0.140, z : -0.843}}
{'epoch': 1539264584939, 'value': {x : 0.490, y : -0.172, z : -0.826}}
{'epoch': 1539264584942, 'value': {x : 0.490, y : -0.176, z : -0.853}}
{'epoch': 1539264584945, 'value': {x : 0.491, y : -0.153, z : -0.830}}
{'epoch': 1539264584946, 'value': {x : 0.488, y : -0.169, z : -0.804}}
{'epoch': 1539264584949, 'value': {x : 0.481, y : -0.194, z : -0.818}}
{'epoch': 1539264584952, 'value': {x : 0.489, y : -0.203, z : -0.829}}
{'epoch': 1539264584954, 'value': {x : 0.492, y : -0.204, z : -0.833}}
{'epoch': 1539264584957, 'value': {x : 0.500, y : -0.180, z : -0.819}}
{'epoch': 1539264584960, 'value': {x : 0.515, y : -0.200, z : -0.820}}
{'epoch': 1539264584961, 'value': {x : 0.507, y : -0.189, z : -0.843}}
{'epoch': 1539264584964, 'value': {x : 0.512, y : -0.200, z : -0.831}}
{'epoch': 1539264584967, 'value': {x : 0.511, y : -0.203, z : -0.820}}
{'epoch': 1539264584970, 'value': {x : 0.498, y : -0.201, z : -0.834}}
{'epoch': 1539264584971, 'value': {x : 0.503, y : -0.193, z : -0.830}}
{'epoch': 1539264584974, 'value': {x : 0.512, y : -0.170, z : -0.801}}
{'epoch': 1539264584977, 'value': {x : 0.524, y : -0.176, z : -0.792}}
{'epoch': 1539264584979, 'value': {x : 0.512, y : -0.193, z : -0.827}}
{'epoch': 1539264584982, 'value': {x : 0.496, y : -0.192, z : -0.825}}
{'epoch': 1539264584984, 'value': {x : 0.499, y : -0.209, z : -0.830}}
{'epoch': 1539264584986, 'value': {x : 0.505, y : -0.205, z : -0.834}}
{'epoch': 1539264584989, 'value': {x : 0.525, y : -0.192, z : -0.828}}
{'epoch': 1539264584992, 'value': {x : 0.542, y : -0.221, z : -0.839}}
{'epoch': 1539264584993, 'value': {x : 0.552, y : -0.227, z : -0.871}}
{'epoch': 1539264584996, 'value': {x : 0.567, y : -0.209, z : -0.870}}
{'epoch': 1539264584999, 'value': {x : 0.573, y : -0.232, z : -0.873}}
{'epoch': 1539264585001, 'value': {x : 0.556, y : -0.224, z : -0.888}}
{'epoch': 1539264585003, 'value': {x : 0.548, y : -0.240, z : -0.896}}
{'epoch': 1539264585006, 'value': {x : 0.534, y : -0.262, z : -0.900}}
{'epoch': 1539264585008, 'value': {x : 0.543, y : -0.242, z : -0.907}}
{'epoch': 1539264585011, 'value': {x : 0.565, y : -0.240, z : -0.885}}
{'epoch': 1539264585014, 'value': {x : 0.559, y : -0.248, z : -0.892}}
{'epoch': 1539264585015, 'value': {x : 0.552, y : -0.242, z : -0.913}}
{'epoch': 1539264585018, 'value': {x : 0.565, y : -0.248, z : -0.900}}
{'epoch': 1539264585021, 'value': {x : 0.568, y : -0.295, z : -0.906}}
{'epoch': 1539264585023, 'value': {x : 0.584, y : -0.298, z : -0.910}}
{'epoch': 1539264585025, 'value': {x : 0.571, y : -0.302, z : -0.915}}
{'epoch': 1539264585028, 'value': {x : 0.565, y : -0.284, z : -0.923}}
{'epoch': 1539264585030, 'value': {x : 0.542, y : -0.276, z : -0.932}}
{'epoch': 1539264585033, 'value': {x : 0.546, y : -0.298, z : -0.919}}
{'epoch': 1539264585036, 'value': {x : 0.527, y : -0.280, z : -0.900}}
